setting,gpu_model,split,n_test,r2,rmse,calib_intercept,calib_slope
bert,NVIDIA GeForce RTX 2080 Ti,15,44,0.958254535100417,0.22656900618162445,-0.10450471584314552,0.9576252884512727
bert,NVIDIA GeForce RTX 2080 Ti,16,29,0.9220699903971297,0.2798692594431458,0.38263960538381714,1.0525134990320923
bert,NVIDIA GeForce RTX 2080 Ti,17,36,0.918409495775723,0.2606118821231246,-0.18654545417738905,0.945440064349157
bert,NVIDIA GeForce RTX 2080 Ti,18,40,0.9272591409950204,0.2599182387171848,-0.08278610604603306,0.9810456518529513
bert,NVIDIA GeForce RTX 2080 Ti,19,39,0.964239252611471,0.2062510269322655,0.06361957624936934,0.9990226031736482
gpt,NVIDIA A100-SXM4-40GB,0,92,0.9625852242138234,0.16239323002129075,0.44502779096981776,1.0946200566536344
gpt,NVIDIA A100-SXM4-40GB,1,92,0.9580625051754157,0.1787969272066987,-0.10355776646388166,0.9745228946309801
gpt,NVIDIA A100-SXM4-40GB,2,92,0.9663839021230572,0.1534311716933294,-0.00803289265437583,1.0041939951757144
gpt,NVIDIA A100-SXM4-40GB,3,92,0.9537974614300005,0.19287368399520122,0.11640742781642562,1.018679230950254
gpt,NVIDIA A100-SXM4-40GB,4,92,0.9520105515615913,0.1972478953633261,0.5559837797561267,1.1077198902429868
gpt,NVIDIA A100-SXM4-40GB,5,92,0.9493973119155195,0.1873733395650035,-0.5781081063044795,0.878021310475122
gpt,NVIDIA A100-SXM4-40GB,6,92,0.9731010803368191,0.12942040885162745,0.06876601073830163,1.0238039201339553
gpt,NVIDIA A100-SXM4-40GB,7,92,0.9607216422231156,0.16466571744399047,0.08261623599121484,1.0248264028067984
gpt,NVIDIA A100-SXM4-40GB,8,92,0.9634776494668537,0.16757165920203437,0.00962896681718463,0.9982243858409028
gpt,NVIDIA A100-SXM4-40GB,9,92,0.9620919779270772,0.16093795105558342,0.03595881187731669,1.0170093316680486
gpt,NVIDIA A100-SXM4-40GB,10,92,0.9603357814849305,0.1661384977783111,-0.24918805830775376,0.9562343581974541
gpt,NVIDIA A100-SXM4-40GB,11,92,0.9544086849361286,0.1943832348471946,0.19482507610193428,1.0385192962609344
gpt,NVIDIA A100-SXM4-40GB,12,92,0.9481962522981693,0.2144783781893543,-0.2214070422772518,0.9412106746581655
gpt,NVIDIA A100-SXM4-40GB,13,92,0.963674810919966,0.16215261169327547,-0.03698161021893223,0.9944838951668552
gpt,NVIDIA A100-SXM4-40GB,14,92,0.967569730445582,0.17094180170095877,-0.028209482568923624,0.9844643191350042
gpt,NVIDIA A100-SXM4-40GB,15,92,0.9722520102921539,0.14046628387386006,0.16989392275995005,1.032955019127603
gpt,NVIDIA A100-SXM4-40GB,16,92,0.9563943324875852,0.19445772153349292,-0.38329202892222297,0.9118150994437353
gpt,NVIDIA A100-SXM4-40GB,17,92,0.9526067542991538,0.17395064934619864,0.43188979524097876,1.1005777239210708
gpt,NVIDIA A100-SXM4-40GB,18,92,0.957547424695591,0.17449927457862927,-0.41877334116838605,0.9093129036286361
gpt,NVIDIA A100-SXM4-40GB,19,92,0.9535478036884968,0.20431400357401144,-0.10690592997920552,0.9661054445409324
gpt,NVIDIA GeForce RTX 2080 Ti,0,65,0.9812772905085034,0.1553284777240216,-0.009476049056507454,0.9923881507494035
gpt,NVIDIA GeForce RTX 2080 Ti,1,61,0.9781015915949086,0.15905968582874985,-0.2037274374565101,0.9554700523934961
gpt,NVIDIA GeForce RTX 2080 Ti,2,61,0.9810530079223115,0.1441038279905416,0.06872309529162256,1.0150600112404138
gpt,NVIDIA GeForce RTX 2080 Ti,3,71,0.9801650036587569,0.13684227951482117,0.003740739939556517,1.008990881598216
gpt,NVIDIA GeForce RTX 2080 Ti,4,65,0.9744535449069657,0.17654759371608394,-0.20522811288010995,0.9422682779214336
gpt,NVIDIA GeForce RTX 2080 Ti,5,65,0.9819722378458614,0.12982641123801125,0.015473143513390426,1.0074110975225992
gpt,NVIDIA GeForce RTX 2080 Ti,6,73,0.9837717827435577,0.13403260473223275,-0.07563079477641217,0.9831610081119689
gpt,NVIDIA GeForce RTX 2080 Ti,7,63,0.9801633984118746,0.15392032900375913,-0.015454125370596173,0.9978857947987135
gpt,NVIDIA GeForce RTX 2080 Ti,8,67,0.9851185121426513,0.1225800290414135,0.11168939883070186,1.030724157808951
gpt,NVIDIA GeForce RTX 2080 Ti,9,69,0.9800147729822878,0.14871111435699919,-0.07295160050646687,0.9765087473999091
gpt,NVIDIA GeForce RTX 2080 Ti,10,65,0.9776952202778503,0.1397191914503092,-0.05576398226533922,1.0039316528470923
gpt,NVIDIA GeForce RTX 2080 Ti,11,59,0.9752324174760569,0.17572406365319307,-0.04875210850658365,0.9846471564991718
gpt,NVIDIA GeForce RTX 2080 Ti,12,59,0.9734078661772843,0.16988534323080692,-0.06350210844807702,0.984579061026598
gpt,NVIDIA GeForce RTX 2080 Ti,13,63,0.9831903017082976,0.14160260093165403,0.15594562493755343,1.030639265887961
gpt,NVIDIA GeForce RTX 2080 Ti,14,65,0.9811429460791408,0.13982445436786603,-0.0014708215991938878,1.000805923437945
gpt,NVIDIA GeForce RTX 2080 Ti,15,57,0.9828262577874196,0.13917282800535297,0.02355188927690699,0.9952912840719013
gpt,NVIDIA GeForce RTX 2080 Ti,16,67,0.9804303592591339,0.14731977920967232,-0.06175192514560887,0.9836429945684476
