setting,split,model,n_test,r2,rmse,calib_intercept,calib_slope
pooled,3,configuration_only_legacy_no_strategy,195,0.7721505820730068,0.4431705189363921,-0.04305635603948411,0.994496604507184
pooled,3,configuration_only_matched_features,195,0.8336831610147142,0.37862999128171937,-0.0660086773180832,0.9905608659527015
pooled,3,predicted_eta_prerun,195,0.8337205750457498,0.3785874012736719,-0.06453419132427497,0.990776722721936
pooled,3,measured_eta_postrun,195,0.9186997923895759,0.2647236411207747,0.03333396508088966,1.0151480679808376
pooled,4,eta_predictor,202,0.8993564016397136,0.2732904003551312,-0.01663207544932604,1.039171780756541
pooled,4,configuration_only_legacy_no_strategy,202,0.7380497964324262,0.46319708537273097,0.20834454369339445,1.0347058070297197
pooled,4,configuration_only_matched_features,202,0.8140158737204768,0.3902962577959421,0.19025793835401392,1.0356666060665618
pooled,4,predicted_eta_prerun,202,0.8143167632174799,0.38998041476352785,0.19199687211935193,1.0362494199556098
pooled,4,measured_eta_postrun,202,0.9188011255858616,0.25788818898637433,0.05471821288566632,1.0141419575118313
pooled,5,eta_predictor,216,0.9116649339909854,0.25628071335194424,0.03433693636082204,0.9995228836167847
pooled,5,configuration_only_legacy_no_strategy,216,0.7933120780736046,0.4353690423551808,-0.4187388930396095,0.9184912548501826
pooled,5,configuration_only_matched_features,216,0.8426085605540433,0.3799185935313589,-0.4021195281307042,0.9200454420924769
pooled,5,predicted_eta_prerun,216,0.842178460945012,0.3804373363539706,-0.40095174236779896,0.9202532423736658
pooled,5,measured_eta_postrun,216,0.920062246864368,0.27075467473342,-0.3648737449455403,0.9217540986548036
pooled,6,eta_predictor,179,0.8888604976747939,0.28921734264574556,-0.009771247840886276,0.9797996195977615
pooled,6,configuration_only_legacy_no_strategy,179,0.7397046533264076,0.44827962618220596,-0.31509672142934275,0.9427851956372283
pooled,6,configuration_only_matched_features,179,0.7905062456339774,0.4021622841898619,-0.32035214935006034,0.9406433074162506
pooled,6,predicted_eta_prerun,179,0.7905539602467995,0.40211648303819003,-0.31878214298071034,0.9408865016001244
pooled,6,measured_eta_postrun,179,0.9003553421847512,0.27735934883005825,-0.18223062313453506,0.9714665772389841
pooled,7,eta_predictor,208,0.9079404858902376,0.2580791685730075,0.01971899835784362,0.9949377049516147
pooled,7,configuration_only_legacy_no_strategy,208,0.780570953100828,0.42966190336796567,-0.1552604055415036,0.9783496826707548
pooled,7,configuration_only_matched_features,208,0.8301045832061529,0.37806861058305313,-0.15268237766257353,0.9790096880976389
pooled,7,predicted_eta_prerun,208,0.8302995075976675,0.3778516655198189,-0.14847674695289603,0.9798531529453239
pooled,7,measured_eta_postrun,208,0.9140550424469777,0.26889949731756774,-0.0041021268146224955,1.0062666255395916
pooled,8,eta_predictor,209,0.8938257451449795,0.2774777065635261,-0.0040676184325677935,0.9737148905982514
pooled,8,configuration_only_legacy_no_strategy,209,0.75623557736104,0.4443232686164441,-0.13215596704624544,0.9834414800585397
pooled,8,configuration_only_matched_features,209,0.8232504493769406,0.3783494056271286,-0.08189656283983567,0.9941962383714747
pooled,8,predicted_eta_prerun,209,0.8235027050509727,0.3780793204658938,-0.08157012549964608,0.9942331321439836
pooled,8,measured_eta_postrun,209,0.9246372702286784,0.24705418063237494,0.02508872090062786,1.0130521132099384
pooled,9,eta_predictor,198,0.8897755333331372,0.28395830808366085,-0.006581601509414925,1.0228670438059888
pooled,9,configuration_only_legacy_no_strategy,198,0.7519737057526067,0.4742776520635181,0.09232307498163637,0.9924143438157054
pooled,9,configuration_only_matched_features,198,0.8172924525115912,0.4070633880300663,0.070363819568478,0.9897533665087688
pooled,9,predicted_eta_prerun,198,0.8174280026520522,0.40691236050552543,0.0685291961769659,0.9893797825404332
pooled,9,measured_eta_postrun,198,0.9136821491673179,0.2797912369222682,-0.04704179566426365,0.9681805035469627
pooled,10,eta_predictor,194,0.9073049035568131,0.2576970186410153,-0.012312845318062971,0.9862658954429536
pooled,10,configuration_only_legacy_no_strategy,194,0.7756786904236019,0.43825736656288694,0.17235811834519407,1.0359492079693935
